id,table,current_name,proposed_name,category,current_description,proposed_description
"\"9480ccf1-b5ab-4003-91fc-aef2b863082c\",\"tools\",\"1000w Inverter 12v\",\"1000w Inverter 12v\",\"Electric Tool\",\"1000W Watt continuous\n2000W Peak \",\"1000W Watt continuous\n2000W Peak \""
"\"2f6ae9f3-63c5-4eed-b09f-441919ba7221\",\"tools\",\"18 Inch Pipe Wrench\",\"18 Inch Pipe Wrench\",\"Hand Tools\",\"18 inches\",\"18 inches\""
"\"644bd06c-3ac8-47db-9e89-ad53604d3e59\",\"tools\",\"24 Inch Crow Bar\",\"24 Inch Crow Bar\",\"Hand Tools\",\"Stanley from the US\",\"Stanley from the US\""
"\"fb2ee717-4027-4542-bfa9-d0fa54adf531\",\"tools\",\"350mm Masonry Bits \",\"350mm Masonry Bits \",\"\",\"\",\"\""
"\"d54ab44c-32a0-457d-8497-698f4646322e\",\"tools\",\"7.5m Measuring Tape\",\"7.5m Measuring Tape\",\"Hand Tools\",\"Easyman\",\"Easyman\""
"\"77a33064-12d8-46f5-90f9-f483bda90ae7\",\"tools\",\"8 Port Ethernet Switch\",\"8 Port Ethernet Switch\",\"Electric Tool\",\"TP-link\",\"TP-link\""
"\"3343cf42-bf80-4d15-a600-2028f5bd7dc9\",\"tools\",\"Accommodation\",\"Accommodation\",\"Infrastructure\",\"Used by males. Near the ati learning center\",\"Used by males. Near the ati learning center\""
"\"719b2f05-ce4d-4003-8cb6-18476c1e6e8f\",\"tools\",\"Accomodation North\",\"Accomodation North\",\"Infrastructure\",\"Near the ATI used by females\",\"Near the ATI used by females\""
"\"b162ec7e-d1b8-43ee-9128-c2b15bdf9714\",\"tools\",\"Aerator Set\",\"Aerator Set\",\"Electric Tool\",\"For vermi tea\",\"For vermi tea\""
"\"8bbd572b-53e3-4063-bc35-427983bedad4\",\"tools\",\"A Frame Contour \",\"A Frame Contour \",\"\",\"\",\"\""
"\"b90dc720-05b1-4e7a-9ceb-0350f26edf2d\",\"tools\",\"A Frame Contour \",\"A Frame Contour \",\"\",\"\",\"\""
"\"07fbcd6a-2494-40b8-90b7-811f401f055d\",\"tools\",\"A Frame Contour \",\"A Frame Contour \",\"\",\"\",\"\""
"\"31c17589-c88b-4736-876f-2234d021dfa5\",\"tools\",\"Air Compressor \",\"Air Compressor \",\"Electric Tool\",\"It is missing installation of compressor oil\",\"It is missing installation of compressor oil\""
"\"d1433923-2249-44d6-bb4c-9ee3411052cd\",\"tools\",\"Air Pump\",\"Air Pump\",\"Hand Tools\",\"\",\"Hand Tools tool/equipment\""
"\"3546927f-7017-4deb-a506-30a715070629\",\"tools\",\"Aquarium \",\"Aquarium \",\"Hand Tools\",\"\",\"Hand Tools tool/equipment\""
"\"049402bf-9d0c-47ba-8deb-135a7389cbdf\",\"tools\",\"Aquarium \",\"Aquarium \",\"\",\"\",\"\""
"\"c7f11ae1-7f3d-458b-9652-c6bd25d43731\",\"tools\",\"Asset Test\",\"Asset Test\",\"Hand Tools\",\"\",\"Hand Tools tool/equipment\""
